######  LOG REPORT  ###### 
 
MODEL : DT_0.1_1-40
ENVIRONMENTS SET : test_set
 
ENV NAME : 0.yml 
SUCCESS : NO ! 
 
ENV NAME : 1.yml 
SUCCESS : NO ! 
 
ENV NAME : 2.yml 
SUCCESS : NO ! 
 
ENV NAME : 3.yml 
SUCCESS : NO ! 
 
ENV NAME : 4.yml 
SUCCESS : NO ! 
 
ENV NAME : 5.yml 
SUCCESS : NO ! 
 
ENV NAME : 6.yml 
SUCCESS : NO ! 
 
ENV NAME : 7.yml 
SUCCESS : NO ! 
 
ENV NAME : 8.yml 
SUCCESS : NO ! 
 
ENV NAME : 9.yml 
SUCCESS : NO ! 
 
ENV NAME : 10.yml 
SUCCESS : NO ! 
 
ENV NAME : 11.yml 
SUCCESS : NO ! 
 
ENV NAME : 12.yml 
SUCCESS : NO ! 
 
ENV NAME : 13.yml 
SUCCESS : NO ! 
 
ENV NAME : 14.yml 
SUCCESS : NO ! 
 
ENV NAME : 15.yml 
SUCCESS : NO ! 
 
ENV NAME : 16.yml 
SUCCESS : NO ! 
 
ENV NAME : 17.yml 
SUCCESS : NO ! 
 
ENV NAME : 18.yml 
SUCCESS : NO ! 
 
PERCENTAGE SUCCESS : 0.0 %
TOTAL TIME : 0:08:28
